,feature,class
30,"[-8.67330399e+01  1.59115189e+02 -7.22240448e+01  6.40248718e+01
 -5.08235435e+01  3.91386566e+01 -7.91478300e+00  1.94596348e+01
  6.13276720e-01  7.13540411e+00  1.59314156e+01 -1.06440516e+01
  1.43233376e+01 -8.46155357e+00  1.35683975e+01 -2.72057748e+00
  7.27227306e+00  1.53939962e+00  3.41729999e+00  8.17572689e+00
 -1.96957886e+00  8.95205975e+00 -2.91159868e+00  3.48156404e+00
 -3.87749147e+00  4.72027826e+00  3.66008401e-01 -2.91286039e+00
  1.17375918e-01 -3.20492435e+00  8.91361356e-01 -1.82232726e+00
  2.56114721e+00 -4.93118197e-01  2.29768801e+00 -2.05230045e+00
 -2.14835525e+00 -4.52718401e+00 -3.62890291e+00 -1.78209352e+00]",WeightedbladesNoise
31,"[-8.67848129e+01  1.56768021e+02 -6.89443588e+01  6.24751930e+01
 -4.84444427e+01  3.82005386e+01 -7.47964096e+00  1.77194939e+01
  5.11657059e-01  7.70340109e+00  1.81684227e+01 -7.90143538e+00
  1.33559055e+01 -1.17713785e+01  9.51043701e+00 -2.49397206e+00
  8.18879128e+00  2.81382656e+00  4.12423849e+00  8.44073391e+00
 -1.00650501e+00  8.69286823e+00 -3.98076200e+00  2.82332277e+00
 -3.01213670e+00  4.73207760e+00  5.01365721e-01 -2.24209023e+00
  1.31594822e-01 -4.11456108e+00  6.31829202e-01 -7.85573959e-01
  2.75609756e+00 -9.69060123e-01  1.81673205e+00 -1.43970263e+00
 -1.24323428e+00 -4.57380199e+00 -3.95304537e+00 -1.72809637e+00]",WeightedbladesNoise
32,"[-7.98855362e+01  1.59789398e+02 -7.53223495e+01  6.50042114e+01
 -5.02176018e+01  3.94684753e+01 -1.10967722e+01  1.82524433e+01
 -1.60198784e+00  7.69095945e+00  1.80844440e+01 -7.71030045e+00
  1.43291025e+01 -1.35048609e+01  1.06576576e+01 -4.81674862e+00
  6.70235538e+00  2.05321789e+00  5.30567217e+00  8.97463894e+00
 -1.80622840e+00  9.92250538e+00 -3.82825351e+00  1.88133419e+00
 -4.39325333e+00  5.16626930e+00 -1.58965200e-01 -2.82093787e+00
 -2.13297904e-02 -4.23597431e+00  2.87964940e-01 -1.48895586e+00
  3.16095471e+00 -9.00966346e-01  1.26536322e+00 -2.44170380e+00
 -1.02626121e+00 -4.46683407e+00 -3.67657828e+00 -1.38778090e+00]",WeightedbladesNoise
33,"[-80.38624    158.32593    -74.89737     66.99123    -51.471416
  39.979088   -10.697766    18.146017    -3.114221     5.4551344
  17.955944    -6.6320925   14.18144    -13.87811      9.962304
  -5.6317945    8.346487     3.1526608    3.8955467    6.985488
  -2.2781308   10.15025     -3.584226     1.9954758   -5.0498824
   4.5200777   -0.34178638  -1.9456083    0.63039345  -3.8525367
   1.0533115   -1.0624804    3.4365735   -0.8067271    0.9729974
  -2.0278428   -0.2906993   -4.672663    -4.2589335   -2.1346793 ]",WeightedbladesNoise
34,"[-1.0989821e+02  1.5240118e+02 -5.9316772e+01  6.1996677e+01
 -4.0293587e+01  3.7981281e+01 -3.5282729e+00  1.6126961e+01
  3.8221731e+00  6.0257540e+00  1.5367862e+01 -6.5430775e+00
  1.5784731e+01 -5.8649259e+00  9.4390345e+00 -3.4285021e+00
  8.1678619e+00  4.6863637e+00  1.9775869e+00  6.8836379e+00
 -9.5667452e-01  9.2130089e+00 -2.9404292e+00  3.4021299e+00
 -2.7596073e+00  2.9007881e+00  1.8514946e+00 -1.4888390e+00
  1.7049809e-01 -4.7498293e+00  8.9837122e-01 -1.5104021e+00
  3.3796895e+00  1.8650278e-02  9.4538704e-02 -1.6915381e+00
 -2.9792662e+00 -3.5222583e+00 -3.3273640e+00 -1.7903458e+00]",WeightedbladesNoise
35,"[-97.52049    147.78229    -57.45235     62.122826   -39.92116
  35.92        -3.0433612   14.627736     1.8239602    4.2990465
  17.174555    -4.953185    14.0546255   -8.3604765    7.566997
  -2.232266     7.565047     4.584257     3.4931724    7.8109274
  -0.33275896   8.87517     -3.8344214    3.3243499   -2.485856
   3.214845     2.0554166   -1.8973025    1.2639937   -4.2341566
   0.8390394   -1.3841442    3.1165752   -0.1633107    0.29475343
  -1.1883861   -2.830823    -3.387581    -3.9863987   -1.9491962 ]",WeightedbladesNoise
36,"[-104.23675     149.24747     -59.834282     68.63822     -43.178604
   40.25787      -2.7716246    18.374466     -0.6452486     3.3918753
   15.625195     -6.1456013    16.094114     -8.167571      8.995689
   -4.3863215     8.116568      3.4182005     2.271618      7.071158
   -1.3666592     7.733498     -3.5248024     4.8705883    -3.3437264
    2.5953593     1.368498     -0.6659201     1.7302786    -2.7166228
    0.7379656    -2.3445644     2.1170225    -1.984105      0.56265694
   -0.8803277    -1.0502956    -2.788816     -3.705771     -2.9252472 ]",WeightedbladesNoise
37,"[-1.0387901e+02  1.3897269e+02 -6.5459869e+01  6.9317551e+01
 -4.5884750e+01  3.8692753e+01 -8.3250151e+00  1.8593710e+01
 -2.0340955e+00  9.7514376e-02  1.1827686e+01 -7.3068595e+00
  1.6250683e+01 -9.3733273e+00  1.2038716e+01 -3.5301471e+00
  8.4001331e+00  2.6958466e+00  1.6937009e+00  7.9316344e+00
 -8.1078106e-01  7.1609669e+00 -4.1699057e+00  6.4327917e+00
 -3.2336886e+00  7.4220467e-01 -1.0090209e+00  2.8874986e-03
  3.5121977e+00 -1.4470013e+00  1.2734699e+00 -3.6329389e+00
  1.1395046e+00 -1.8237125e+00  1.8658975e+00  1.6547915e-01
 -8.8667817e-02 -2.6931648e+00 -3.3438480e+00 -2.0989892e+00]",WeightedbladesNoise
38,"[-9.30570221e+01  1.53134537e+02 -7.61454086e+01  7.52616882e+01
 -5.43080559e+01  4.16401863e+01 -1.52846422e+01  1.84347897e+01
 -5.81539392e+00  1.64770246e+00  1.17521076e+01 -1.00969095e+01
  1.57454472e+01 -1.04525824e+01  1.45625772e+01 -5.91198206e+00
  8.90867996e+00  1.21732330e+00  1.21425188e+00  5.59834576e+00
 -1.31264222e+00  6.15406227e+00 -5.37866497e+00  6.92504787e+00
 -3.71977997e+00  3.04585028e+00 -2.07014918e+00 -2.87999004e-01
  1.11586702e+00 -1.93990970e+00  1.63501370e+00 -3.25883293e+00
  2.22231507e+00 -1.14744139e+00  2.58551526e+00 -1.29257667e+00
 -1.28242359e-01 -3.80287671e+00 -2.09388971e+00 -2.04899263e+00]",WeightedbladesNoise
39,"[ -62.94821     153.52823    -100.430824     83.791504    -56.527603
   35.75031     -25.709164     14.515763    -11.453294      1.8636458
   13.890939     -9.803627     13.476745    -17.070475     11.542233
   -9.197958      7.2742743    -0.26030278    3.5764923     4.2601743
   -3.9331834     8.187348     -3.9923716     3.6269207    -8.811669
    4.4623756     0.43235284   -0.8835394    -0.89453125   -2.8004591
    0.2577087    -3.2550113     2.4747665    -1.726721      2.6169064
   -2.145876     -0.26221207   -3.1986217    -2.3302813    -2.480702  ]",WeightedbladesNoise
40,"[-6.0860645e+01  1.4894106e+02 -9.3931129e+01  7.8018890e+01
 -5.4068375e+01  3.4267269e+01 -2.2579084e+01  1.3233202e+01
 -1.0032198e+01  3.6026835e+00  1.6099339e+01 -9.7710524e+00
  1.1430891e+01 -1.6688267e+01  1.2298835e+01 -8.4364653e+00
  6.6238756e+00  1.3522555e+00  2.9356778e+00  5.3847036e+00
 -3.1993616e+00  8.3251457e+00 -4.4936934e+00  3.0200701e+00
 -7.8878794e+00  3.8128116e+00  5.6551170e-01 -1.3006313e+00
 -8.4133184e-01 -3.1232274e+00  8.1739789e-01 -2.8949931e+00
  3.3960686e+00 -1.6144459e+00  1.4229238e+00 -1.9296875e+00
  4.8804164e-02 -3.2780843e+00 -3.2751279e+00 -1.6110455e+00]",WeightedbladesNoise
