,feature,class
30,"[-1.0828102e+02  1.1378276e+02 -9.2638672e+01  9.8337646e+01
 -6.7277229e+01  6.1447235e+01 -2.8595272e+01  2.1147934e+01
 -1.1297179e+01 -8.5884064e-02  6.7391038e+00 -1.3302969e+01
  1.4199557e+01 -1.7860641e+01  1.0338370e+01 -1.5631210e+01
  1.4338428e+01 -4.1001148e+00  3.2937949e+00  5.5548363e+00
 -3.6551311e+00  5.5878344e+00 -7.8702617e+00  2.7790794e+00
 -1.1281008e+01  3.1170824e+00 -2.2307889e+00 -8.2804710e-01
 -1.9289352e+00  1.8885188e+00  1.0400071e+00 -3.1083455e+00
 -1.4082335e+00 -6.2599621e+00  3.0628156e-02 -4.7818785e+00
  3.7291548e+00 -2.7618747e+00  2.0539143e+00  6.8636763e-01]",FaultyFan
31,"[-1.10007118e+02  1.18864632e+02 -9.96632080e+01  1.02847336e+02
 -6.97906113e+01  6.49484253e+01 -2.99992199e+01  2.33577080e+01
 -1.33495274e+01 -8.65512192e-02  6.15202951e+00 -1.28167992e+01
  1.40744972e+01 -1.99425983e+01  1.37591810e+01 -1.41121511e+01
  1.29294176e+01 -5.53760386e+00  6.41083717e+00  5.06495905e+00
 -3.56942749e+00  6.25651169e+00 -8.19698334e+00  1.73521888e+00
 -1.12724361e+01  5.21218443e+00 -5.04065990e+00 -4.02974188e-01
 -1.36218941e+00  9.13582087e-01  1.77685428e+00 -3.07188106e+00
 -9.81589794e-01 -5.52182198e+00 -8.24905455e-01 -4.10714054e+00
  3.76356149e+00 -4.35695601e+00  3.25420284e+00  4.77698207e-01]",FaultyFan
32,"[-103.60639     112.62132     -93.2052       94.33149     -62.297527
   61.437004    -25.589643     21.02236      -9.982122      0.24164823
    5.991791    -15.6110525    14.27973     -15.727916     10.384715
  -13.633432     12.158269     -4.6777263     2.2789955     6.121549
   -1.5045182     4.034349     -8.155652      3.7238338   -10.006689
    1.9484639    -2.430559     -0.41205418   -2.9524906     2.0596597
    1.3076756    -3.2724307    -1.8299999    -5.7510605     0.43491566
   -5.94069       3.6312728    -2.131002      1.7244576     0.8864787 ]",FaultyFan
33,"[-1.03565575e+02  1.11491081e+02 -9.31700897e+01  9.32818069e+01
 -6.20430984e+01  6.16229172e+01 -2.31285725e+01  2.00579071e+01
 -1.14373941e+01 -2.81648135e+00  3.99745250e+00 -1.54642830e+01
  1.58280487e+01 -1.55097437e+01  8.04947186e+00 -1.15779829e+01
  1.29532890e+01 -5.37480974e+00  2.18741393e+00  6.14148617e+00
 -1.59321189e+00  3.58060575e+00 -6.71839476e+00  3.35072041e+00
 -1.06165543e+01  3.46671796e+00 -2.15741158e+00 -6.73415542e-01
 -2.94746113e+00  2.24773979e+00  2.17896366e+00 -4.36106396e+00
 -1.88643420e+00 -4.51502705e+00 -5.57429902e-02 -5.28721189e+00
  4.22729158e+00 -2.99028563e+00  1.52267957e+00  1.39596653e+00]",FaultyFan
34,"[-9.7346367e+01  1.0352079e+02 -7.9373619e+01  8.1257072e+01
 -3.3734802e+01  5.6179039e+01 -1.5961222e+01  1.8223690e+01
 -7.6738067e+00 -1.3204989e+01  5.8031902e+00 -1.1795685e+01
  1.4015202e+01 -1.3888381e+01  6.2337208e+00 -7.8783832e+00
  6.0213037e+00 -3.0395806e+00  4.2411008e-01  5.5449390e+00
 -5.6201472e+00  3.9400208e+00 -8.5037718e+00  2.7669873e+00
 -5.5878267e+00 -3.7660411e-01 -2.9808517e+00 -2.2371550e+00
 -7.0675588e-01 -2.5429473e+00  1.2821325e+00 -5.1727843e+00
 -1.1775852e+00 -5.3728404e+00 -1.2669243e+00 -2.1391206e+00
  5.2487099e-01 -1.2406268e+00 -6.9007650e-02  6.3327581e-01]",FaultyFan
35,"[-108.36213     125.8998      -48.390965     80.87003     -51.647358
   49.46865     -16.192316     12.706183     -4.458535     -2.438809
   10.948942    -13.778119     13.441713     -9.283312      8.241078
   -9.866126      2.6020768    -3.3446896    -0.6086623     4.1565757
   -4.0161543     3.2256763    -8.461612      4.237449     -3.0390494
    2.7781827    -2.7982867    -3.3922234    -0.45043057   -3.152115
   -1.1748868    -5.431777     -0.21624753   -4.4170556    -1.1243819
   -3.2350266    -0.36587524   -3.0431764    -2.9096406    -1.8494822 ]",FaultyFan
36,"[-1.0253468e+02  1.0582594e+02 -5.5332794e+01  8.4518494e+01
 -4.2908588e+01  5.8745243e+01 -1.0409121e+01  1.3629368e+01
 -1.9131880e+00  4.7919741e+00  1.5610356e+01 -1.2443462e+01
  1.8684462e+01 -4.7845783e+00  1.2082001e+01 -7.6260381e+00
  3.7693610e+00 -1.4716262e+00 -2.4243910e+00  3.2579117e+00
 -4.1518350e+00  4.4371285e+00 -6.8197279e+00  4.6983194e+00
 -5.3730392e-01  3.1224823e+00 -3.1184599e+00  4.0067592e-01
  1.9989023e+00 -2.2674441e+00  1.1437437e-03 -5.0856700e+00
  7.3737836e-01 -5.4935460e+00 -1.9357377e+00 -2.6120532e+00
 -4.6500373e-01 -6.0835066e+00 -6.1190934e+00 -2.4854023e+00]",FaultyFan
37,"[-106.89135     102.47722     -49.700836     80.46426     -37.52223
   52.096912     -3.982406     15.128225     -3.346524      2.3690872
   14.718663    -11.283697     16.525356     -3.7181141    10.871938
   -6.082853      2.271638     -2.572753     -2.4973834     3.2787197
   -1.8268825     3.4002051    -7.54454       4.225384     -1.4378347
    4.890708     -0.9809598    -0.68113744    1.8482938    -1.4012547
    0.54357356   -5.9071956     1.1175429    -4.1723027    -2.1900692
   -1.497869      0.1403146    -4.1415086    -5.66494      -2.5438232 ]",FaultyFan
38,"[-1.0685064e+02  1.0408391e+02 -4.9010128e+01  8.5850296e+01
 -4.3236702e+01  5.4514027e+01 -2.8020771e+00  1.2423197e+01
 -3.2454822e+00  7.6143193e+00  1.4627609e+01 -9.5305099e+00
  2.1451599e+01 -4.4589028e+00  1.3133768e+01 -6.4357529e+00
 -1.7433155e+00 -5.7724361e+00 -2.1207612e+00  3.3621190e+00
 -3.7248411e+00  2.4211552e+00 -9.8722324e+00  9.8197734e-01
 -3.4028599e+00  4.1510124e+00 -4.8550415e+00 -3.7746108e+00
  3.6845100e-01 -2.6035345e+00 -1.0454032e-01 -6.5362439e+00
  1.1432774e+00 -4.6033406e+00 -7.0363790e-01  5.0526285e-01
  3.3366730e+00 -2.1867547e+00 -5.6556368e+00 -3.4931681e-01]",FaultyFan
39,"[-1.0347715e+02  1.0206556e+02 -5.2728222e+01  8.9770210e+01
 -4.1652618e+01  5.9775959e+01 -1.4651994e+00  1.5267354e+01
 -6.7726893e+00  8.3607225e+00  1.6991985e+01 -1.1373741e+01
  1.9511499e+01 -7.1812172e+00  1.4178880e+01 -8.7010880e+00
 -3.3372066e+00 -6.6332245e+00 -3.1938736e+00  2.9453559e+00
 -4.7040663e+00  3.0997424e+00 -1.0773756e+01  2.2879539e-01
 -3.0178740e+00  3.5256252e+00 -6.3840938e+00 -5.2246618e+00
  4.3933576e-01 -2.3710260e+00 -1.5574011e-01 -6.2446136e+00
 -7.2355413e-01 -5.4931722e+00 -7.2857416e-01 -9.3146884e-01
  2.0637329e+00 -3.6530781e+00 -5.4167285e+00 -6.0953137e-02]",FaultyFan
40,"[-1.0217359e+02  1.0148770e+02 -5.2317574e+01  8.6851089e+01
 -4.2095837e+01  5.8022766e+01 -2.1789434e+00  1.5634455e+01
 -6.1037602e+00  8.1198835e+00  1.7769104e+01 -1.0390168e+01
  2.0379593e+01 -7.4017940e+00  1.3713623e+01 -8.0053825e+00
 -3.8559718e+00 -6.8635535e+00 -2.3469005e+00  3.5475621e+00
 -5.2278175e+00  3.2806394e+00 -1.0867384e+01  1.2392955e+00
 -2.8115735e+00  3.1306584e+00 -4.7743630e+00 -4.9118986e+00
  8.8717675e-01 -2.9219570e+00 -4.1274611e-02 -6.1534271e+00
 -1.1201811e+00 -4.7608662e+00 -8.3565456e-01 -1.9701813e-01
  1.7459373e+00 -4.5440497e+00 -5.1866274e+00  8.9544192e-02]",FaultyFan
